Trial,BestLossSoFar,BestTrainAccSoFar
1,0.03298909415801366,98.33333333333333
2,0.03298909415801366,98.33333333333333
3,0.03298909415801366,98.33333333333333
4,0.03298909415801366,98.33333333333333
5,0.03298909415801366,98.33333333333333
6,0.03298909415801366,98.33333333333333
7,0.03298909415801366,98.33333333333333
8,0.03298909415801366,98.33333333333333
9,0.032723076393206915,97.5
10,0.032723076393206915,97.5
11,0.030350601548949876,97.5
12,0.030350601548949876,97.5
13,0.030350601548949876,97.5
14,0.030350601548949876,97.5
15,0.030350601548949876,97.5
16,0.030350601548949876,97.5
17,0.030350601548949876,97.5
18,0.030350601548949876,97.5
19,0.0292534193644921,98.33333333333333
20,0.0292534193644921,98.33333333333333
21,0.0292534193644921,98.33333333333333
22,0.0292534193644921,98.33333333333333
23,0.0292534193644921,98.33333333333333
24,0.0292534193644921,98.33333333333333
25,0.0292534193644921,98.33333333333333
26,0.0292534193644921,98.33333333333333
27,0.0292534193644921,98.33333333333333
28,0.0292534193644921,98.33333333333333
29,0.0292534193644921,98.33333333333333
30,0.0292534193644921,98.33333333333333
31,0.0292534193644921,98.33333333333333
32,0.0292534193644921,98.33333333333333
33,0.0292534193644921,98.33333333333333
34,0.0292534193644921,98.33333333333333
35,0.0292534193644921,98.33333333333333
36,0.0292534193644921,98.33333333333333
37,0.0292534193644921,98.33333333333333
38,0.0292534193644921,98.33333333333333
39,0.0292534193644921,98.33333333333333
40,0.0292534193644921,98.33333333333333
41,0.0292534193644921,98.33333333333333
42,0.0292534193644921,98.33333333333333
43,0.0292534193644921,98.33333333333333
44,0.0292534193644921,98.33333333333333
45,0.0292534193644921,98.33333333333333
46,0.0292534193644921,98.33333333333333
47,0.0292534193644921,98.33333333333333
48,0.0292534193644921,98.33333333333333
49,0.0292534193644921,98.33333333333333
50,0.0292534193644921,98.33333333333333
51,0.0292534193644921,98.33333333333333
52,0.0292534193644921,98.33333333333333
53,0.0292534193644921,98.33333333333333
54,0.0292534193644921,98.33333333333333
55,0.0292534193644921,98.33333333333333
56,0.0292534193644921,98.33333333333333
57,0.0292534193644921,98.33333333333333
58,0.0292534193644921,98.33333333333333
59,0.0292534193644921,98.33333333333333
60,0.0292534193644921,98.33333333333333
61,0.0292534193644921,98.33333333333333
62,0.0292534193644921,98.33333333333333
63,0.0292534193644921,98.33333333333333
64,0.0292534193644921,98.33333333333333
65,0.0292534193644921,98.33333333333333
66,0.0292534193644921,98.33333333333333
67,0.0292534193644921,98.33333333333333
68,0.0292534193644921,98.33333333333333
69,0.0292534193644921,98.33333333333333
70,0.0292534193644921,98.33333333333333
71,0.0292534193644921,98.33333333333333
72,0.0292534193644921,98.33333333333333
73,0.0292534193644921,98.33333333333333
74,0.0292534193644921,98.33333333333333
75,0.0292534193644921,98.33333333333333
76,0.0292534193644921,98.33333333333333
77,0.0292534193644921,98.33333333333333
78,0.0292534193644921,98.33333333333333
79,0.0292534193644921,98.33333333333333
80,0.0292534193644921,98.33333333333333
81,0.0292534193644921,98.33333333333333
82,0.0292534193644921,98.33333333333333
83,0.0292534193644921,98.33333333333333
84,0.0292534193644921,98.33333333333333
85,0.0292534193644921,98.33333333333333
86,0.0292534193644921,98.33333333333333
87,0.0292534193644921,98.33333333333333
88,0.0292534193644921,98.33333333333333
89,0.0292534193644921,98.33333333333333
90,0.0292534193644921,98.33333333333333
91,0.0292534193644921,98.33333333333333
92,0.0292534193644921,98.33333333333333
93,0.0292534193644921,98.33333333333333
94,0.0292534193644921,98.33333333333333
95,0.0292534193644921,98.33333333333333
96,0.0292534193644921,98.33333333333333
97,0.0292534193644921,98.33333333333333
98,0.0292534193644921,98.33333333333333
99,0.0292534193644921,98.33333333333333
100,0.0292534193644921,98.33333333333333
101,0.0292534193644921,98.33333333333333
102,0.0292534193644921,98.33333333333333
103,0.0292534193644921,98.33333333333333
104,0.0292534193644921,98.33333333333333
105,0.0292534193644921,98.33333333333333
106,0.0292534193644921,98.33333333333333
107,0.0292534193644921,98.33333333333333
108,0.0292534193644921,98.33333333333333
109,0.0292534193644921,98.33333333333333
110,0.0292534193644921,98.33333333333333
111,0.0292534193644921,98.33333333333333
112,0.0292534193644921,98.33333333333333
113,0.0292534193644921,98.33333333333333
114,0.0292534193644921,98.33333333333333
115,0.0292534193644921,98.33333333333333
116,0.0292534193644921,98.33333333333333
117,0.0292534193644921,98.33333333333333
118,0.0292534193644921,98.33333333333333
119,0.0292534193644921,98.33333333333333
120,0.0292534193644921,98.33333333333333
121,0.0292534193644921,98.33333333333333
122,0.0292534193644921,98.33333333333333
123,0.0292534193644921,98.33333333333333
124,0.0292534193644921,98.33333333333333
125,0.0292534193644921,98.33333333333333
126,0.0292534193644921,98.33333333333333
127,0.0292534193644921,98.33333333333333
128,0.0292534193644921,98.33333333333333
129,0.0292534193644921,98.33333333333333
130,0.0292534193644921,98.33333333333333
131,0.0292534193644921,98.33333333333333
132,0.0292534193644921,98.33333333333333
133,0.0292534193644921,98.33333333333333
134,0.0292534193644921,98.33333333333333
135,0.0292534193644921,98.33333333333333
136,0.0292534193644921,98.33333333333333
137,0.0292534193644921,98.33333333333333
138,0.0292534193644921,98.33333333333333
139,0.0292534193644921,98.33333333333333
140,0.0292534193644921,98.33333333333333
141,0.0292534193644921,98.33333333333333
142,0.0292534193644921,98.33333333333333
143,0.0292534193644921,98.33333333333333
144,0.0292534193644921,98.33333333333333
145,0.028181850910186768,97.5
146,0.028181850910186768,97.5
147,0.028181850910186768,97.5
148,0.028181850910186768,97.5
149,0.028181850910186768,97.5
150,0.028181850910186768,97.5
151,0.028181850910186768,97.5
152,0.028181850910186768,97.5
153,0.028181850910186768,97.5
154,0.028181850910186768,97.5
155,0.028181850910186768,97.5
